from,to,freq,name,length,geometry_type,id,coordx,coordy
203050,203073,22,NA,11.047,LineString,a625nghd6uql,11,-19.00001907
NA,NA,NA,NA,NA,NA,a625nghd6uql,5.516469955,-19.58231926
NA,NA,NA,NA,NA,NA,a625nghd6uql,0,-20.00000954
201799,202498,10,NA,5.009,LineString,a625ng7ej3oi,38.90000916,20.74999046
NA,NA,NA,NA,NA,NA,a625ng7ej3oi,41.20000076,16.2999897
201799,201055,11135113,NA,3.425,LineString,a625ng9po8sf,38.90000916,20.74999046
NA,NA,NA,NA,NA,NA,a625ng9po8sf,37,23.59999084
201266,201888,25037,NA,1.434,LineString,a625ng9xkqsn,-71.28975677,21.54577065
NA,NA,NA,NA,NA,NA,a625ng9xkqsn,-72,20.2999897
203108,203107,0,NA,0.209,LineString,a625nggsov7i,-175.5,-20.99998093
NA,NA,NA,NA,NA,NA,a625nggsov7i,-175.296936,-20.95126915
203107,203067,93969,NA,5.382,LineString,a625nggrrf6o,-175.296936,-20.95126915
NA,NA,NA,NA,NA,NA,a625nggrrf6o,-170,-20.00000954
203130,203360,920002,NA,52.692,LineString,a625ngjw7i53,-175.8051758,-23.95577049
NA,NA,NA,NA,NA,NA,a625ngjw7i53,-130,-50.00003815
202802,202797,22244,NA,1.274,LineString,a625ng7fjbry,8,-1.00E-05
NA,NA,NA,NA,NA,NA,a625ng7fjbry,6.726019859,0.02595
202797,202814,13,NA,6.726,LineString,a625ng8fr973,6.726019859,0.02595
NA,NA,NA,NA,NA,NA,a625ng8fr973,0,-2.00E-05
202802,202794,6093,NA,0.349,LineString,a625ngb7vv62,8,-1.00E-05
NA,NA,NA,NA,NA,NA,a625ngb7vv62,7.999989986,0.348780006
202794,202774,5,NA,2.651,LineString,a625ngasjabm,7.999989986,0.348780006
NA,NA,NA,NA,NA,NA,a625ngasjabm,8,2.999969959
122722,122037,46164,NA,2.644,LineString,a625ngfk0q4b,7.5,37.39999008
